timestamp,hour,dayofweek,month,dayofyear,is_weekend,is_holiday,temperature,humidity,pressure,wind_speed,production_level,maintenance,power,tariff
2023-07-08 19:00:00,19,5,7,189,1,0,7.455517726912887,74.41485315029635,760.815201313956,7.728231824011653,61.085211839569624,0,739.593297133113,day
2022-05-15 06:00:00,6,6,5,135,1,0,23.511016787310826,54.553218689840065,759.1531170323271,5.364236110762998,43.819135768444546,0,458.10384062015487,night
2024-02-04 23:00:00,23,6,2,35,1,0,21.49713930675923,56.78959583212164,761.9159527859404,4.2331087567433645,48.04033951215722,0,730.0096083234511,night
2024-05-15 11:00:00,11,2,5,136,0,0,27.418602169258545,54.76810874671805,761.0986638383401,3.9483338687251677,97.12343547962544,0,785.644093270685,day
2022-05-25 14:00:00,14,2,5,145,0,0,19.115286142197895,67.25287814347294,762.4880001972853,4.949457188229509,90.77742736432678,0,759.7812143961003,day
2023-09-27 11:00:00,11,2,9,270,0,0,-8.179996461949917,74.09348120688963,762.6361361620473,4.40453618094793,91.00694187896588,0,858.0641744555952,day
2023-03-11 12:00:00,12,5,3,70,1,0,24.14436400427608,,756.3134951692207,1.2512924495004514,53.02907300731476,0,491.02214997503467,day
2023-06-30 03:00:00,3,4,6,181,0,0,9.725893989917509,59.56432839763431,762.1616183896298,3.7350658839379896,63.3427518261431,0,726.3585965347622,night
2022-06-18 04:00:00,4,5,6,169,1,0,11.360249129036406,62.99274282114687,749.1211825570975,6.766980809067339,39.82273349248813,0,490.53112742877374,night
2024-05-16 23:00:00,23,3,5,137,0,0,25.606582901731922,56.811349005625324,759.2448412137667,7.04859158096442,71.84371298498137,0,990.3337591268394,night
2024-11-03 01:00:00,1,6,11,308,1,0,0.041185274582907105,84.29468694015304,754.1260636973465,6.1332155391405045,45.278421060151786,0,654.006703620797,night
2022-02-05 12:00:00,12,5,2,36,1,0,18.77204621710616,51.96514232034962,755.8553015108205,6.056289407003716,53.988058084928035,0,485.4369706090957,day
2022-04-07 04:00:00,4,3,4,97,0,0,29.443250606417678,51.83875093096666,760.346484319867,1.086041293351434,54.9440935754224,0,706.1301042795965,night
2023-07-03 20:00:00,20,0,7,184,0,0,9.101891015355184,70.77054016415484,760.4493617085733,4.622746689127524,88.3181776467662,0,1024.7997333195144,day
2023-06-01 05:00:00,5,3,6,152,0,0,20.642713262106003,57.03862078378153,764.6614947796562,6.962994367804933,64.1103479820769,0,690.26098956521,night
2023-02-09 08:00:00,8,3,2,40,0,0,22.595969695270878,52.322962889060484,754.5551423267054,2.1757069183521267,69.12433335977731,0,615.3875766323484,day
2024-08-16 08:00:00,8,4,8,229,0,0,1.1749507579390306,70.00375368560479,762.7009435034519,3.7566454034570302,84.2134587193561,0,764.006904293368,day
2022-02-21 03:00:00,3,0,2,52,0,0,22.27888491420646,52.68704853798501,764.5813669943572,5.704709038724781,63.737306802473555,0,686.2924547423103,night
2023-06-14 14:00:00,14,2,6,165,0,0,14.934479111489503,68.5121035386518,757.6621250497442,4.7525871727541755,89.19083085415987,0,708.9542104681875,day
2024-11-02 11:00:00,11,5,11,307,1,0,-0.08472973577016152,84.61731466069125,760.4546399426087,0.6037839904374702,59.31867300156204,0,557.5855760504138,day
